username,repo_name,stars,repo_url
,mrdoob,100000,https://github.com/mrdoob
pmndrs,react-three-fiber,26700,https://github.com/pmndrs/react-three-fiber
libgdx,libgdx,23000,https://github.com/libgdx/libgdx
,BabylonJS,22800,https://github.com/BabylonJS
ssloy,tinyrenderer,19800,https://github.com/ssloy/tinyrenderer
FreeCAD,FreeCAD,18300,https://github.com/FreeCAD/FreeCAD
,lettier,17400,https://github.com/lettier
aframevr,aframe,16400,https://github.com/aframevr/aframe
CesiumGS,cesium,12400,https://github.com/CesiumGS/cesium
,blender,12200,https://github.com/blender
MonoGame,MonoGame,11100,https://github.com/MonoGame/MonoGame
mapbox,mapbox-gl-js,10900,https://github.com/mapbox/mapbox-gl-js
,isl-org,10800,https://github.com/isl-org
,metafizzy,10300,https://github.com/metafizzy
timzhang642,3D-Machine-Learning,9500,https://github.com/timzhang642/3D-Machine-Learning
,nerfstudio-project,8900,https://github.com/nerfstudio-project
a1studmuffin,SpaceshipGenerator,7600,https://github.com/a1studmuffin/SpaceshipGenerator
,4ian,7600,https://github.com/4ian
,FyroxEngine,7500,https://github.com/FyroxEngine
domlysz,BlenderGIS,7400,https://github.com/domlysz/BlenderGIS
