username,repo_name,stars,repo_url
,public-apis,300000,https://github.com/public-apis
neovim,neovim,80000,https://github.com/neovim/neovim
,tiangolo,73300,https://github.com/tiangolo
,strapi,61700,https://github.com/strapi
,hoppscotch,61400,https://github.com/hoppscotch
,ocornut,57900,https://github.com/ocornut
slatedocs,slate,36000,https://github.com/slatedocs/slate
,QuivrHQ,34100,https://github.com/QuivrHQ
,Kong,33600,https://github.com/Kong
trpc,trpc,33600,https://github.com/trpc/trpc
,httpie,32800,https://github.com/httpie
,ccxt,31900,https://github.com/ccxt
,hasura,30900,https://github.com/hasura
Binaryify,NeteaseCloudMusicApi,30300,https://github.com/Binaryify/NeteaseCloudMusicApi
encode,django-rest-framework,27800,https://github.com/encode/django-rest-framework
YMFE,yapi,27200,https://github.com/YMFE/yapi
,directus,26500,https://github.com/directus
littlecodersh,ItChat,25300,https://github.com/littlecodersh/ItChat
PostgREST,postgrest,22700,https://github.com/PostgREST/postgrest
microsoft,api-guidelines,22500,https://github.com/microsoft/api-guidelines
