username,repo_name,stars,repo_url
,bitwarden,14800,https://github.com/bitwarden
,abpframework,12500,https://github.com/abpframework
dotnet,AspNetCore.Docs,12400,https://github.com/dotnet/AspNetCore.Docs
,aspnetboilerplate,11700,https://github.com/aspnetboilerplate
nopSolutions,nopCommerce,9100,https://github.com/nopSolutions/nopCommerce
ElectronNET,Electron.NET,7200,https://github.com/ElectronNET/Electron.NET
thangchung,clean-code-dotnet,7000,https://github.com/thangchung/clean-code-dotnet
RicoSuter,NSwag,6600,https://github.com/RicoSuter/NSwag
,FastEndpoints,4300,https://github.com/FastEndpoints
dotnet,aspnet-api-versioning,3000,https://github.com/dotnet/aspnet-api-versioning
,mjebrahimi,2600,https://github.com/mjebrahimi
,smartstore,2600,https://github.com/smartstore
,loic-sharma,2600,https://github.com/loic-sharma
serenity-is,Serenity,2600,https://github.com/serenity-is/Serenity
JimBobSquarePants,ImageProcessor,2500,https://github.com/JimBobSquarePants/ImageProcessor
,milanm,1700,https://github.com/milanm
TrilonIO,aspnetcore-angular-universal,1500,https://github.com/TrilonIO/aspnetcore-angular-universal
,MarimerLLC,1200,https://github.com/MarimerLLC
TrilonIO,aspnetcore-Vue-starter,1200,https://github.com/TrilonIO/aspnetcore-Vue-starter
,smartstore,1100,https://github.com/smartstore
