username,repo_name,stars,repo_url
,jwasham,298000,https://github.com/jwasham
,trekhleb,185000,https://github.com/trekhleb
TheAlgorithms,Python,182000,https://github.com/TheAlgorithms/Python
CyC2018,CS-Notes,174000,https://github.com/CyC2018/CS-Notes
yangshun,tech-interview-handbook,114000,https://github.com/yangshun/tech-interview-handbook
,krahets,79900,https://github.com/krahets
kdn251,interviews,62800,https://github.com/kdn251/interviews
TheAlgorithms,Java,57600,https://github.com/TheAlgorithms/Java
,azl397985856,54200,https://github.com/azl397985856
youngyangyang04,leetcode-master,48900,https://github.com/youngyangyang04/leetcode-master
algorithm-visualizer,algorithm-visualizer,46400,https://github.com/algorithm-visualizer/algorithm-visualizer
huihut,interview,33800,https://github.com/huihut/interview
halfrost,LeetCode-Go,32400,https://github.com/halfrost/LeetCode-Go
TheAlgorithms,JavaScript,31800,https://github.com/TheAlgorithms/JavaScript
TheAlgorithms,C-Plus-Plus,29600,https://github.com/TheAlgorithms/C-Plus-Plus
donnemartin,interactive-coding-challenges,29100,https://github.com/donnemartin/interactive-coding-challenges
crossoverJie,JCSprout,27100,https://github.com/crossoverJie/JCSprout
keon,algorithms,23800,https://github.com/keon/algorithms
mxgmn,WaveFunctionCollapse,23000,https://github.com/mxgmn/WaveFunctionCollapse
,trekhleb,22800,https://github.com/trekhleb
