username,repo_name,stars,repo_url
,flutter,163000,https://github.com/flutter
facebook,react-native,117000,https://github.com/facebook/react-native
justjavac,free-programming-books-zh_CN,110000,https://github.com/justjavac/free-programming-books-zh_CN
Genymobile,scrcpy,106000,https://github.com/Genymobile/scrcpy
Hack-with-Github,Awesome-Hacking,80100,https://github.com/Hack-with-Github/Awesome-Hacking
,Solido,52200,https://github.com/Solido
google,material-design-icons,50200,https://github.com/google/material-design-icons
,wasabeef,49800,https://github.com/wasabeef
,tldr-pages,49300,https://github.com/tldr-pages
square,okhttp,45500,https://github.com/square/okhttp
,laurent22,44200,https://github.com/laurent22
android,architecture-samples,44100,https://github.com/android/architecture-samples
square,retrofit,42800,https://github.com/square/retrofit
,appwrite,42400,https://github.com/appwrite
,skylot,40100,https://github.com/skylot
dcloudio,uni-app,39700,https://github.com/dcloudio/uni-app
,fastlane,38900,https://github.com/fastlane
PhilJay,MPAndroidChart,37400,https://github.com/PhilJay/MPAndroidChart
shadowsocks,shadowsocks-android,34800,https://github.com/shadowsocks/shadowsocks-android
,airbnb,34800,https://github.com/airbnb
