username,repo_name,stars,repo_url
justjavac,free-programming-books-zh_CN,110000,https://github.com/justjavac/free-programming-books-zh_CN
,angular,95200,https://github.com/angular
,storybookjs,83400,https://github.com/storybookjs
leonardomso,33-js-concepts,62700,https://github.com/leonardomso/33-js-concepts
,ionic-team,50700,https://github.com/ionic-team
,prettier,48700,https://github.com/prettier
Asabeneh,30-Days-Of-JavaScript,41800,https://github.com/Asabeneh/30-Days-Of-JavaScript
,SheetJS,34700,https://github.com/SheetJS
,angular,26700,https://github.com/angular
,angular,24200,https://github.com/angular
,NativeScript,23900,https://github.com/NativeScript
goldbergyoni,javascript-testing-best-practices,23800,https://github.com/goldbergyoni/javascript-testing-best-practices
,wailsapp,23400,https://github.com/wailsapp
sudheerj,javascript-interview-questions,22800,https://github.com/sudheerj/javascript-interview-questions
,nrwl,22600,https://github.com/nrwl
,jhipster,21300,https://github.com/jhipster
,pubkey,21000,https://github.com/pubkey
paperless-ngx,paperless-ngx,18100,https://github.com/paperless-ngx/paperless-ngx
teambit,bit,17700,https://github.com/teambit/bit
,sweetalert2,17000,https://github.com/sweetalert2
