username,repo_name,stars,repo_url
,arendst,21700,https://github.com/arendst
,MarlinFirmware,16000,https://github.com/MarlinFirmware
tinygo-org,tinygo,14700,https://github.com/tinygo-org/tinygo
arduino,Arduino,14100,https://github.com/arduino/Arduino
rwaldron,johnny-five,13200,https://github.com/rwaldron/johnny-five
SpacehuhnTech,esp8266_deauther,13100,https://github.com/SpacehuhnTech/esp8266_deauther
espressif,arduino-esp32,13000,https://github.com/espressif/arduino-esp32
gurugio,lowlevelprogramming-university,9800,https://github.com/gurugio/lowlevelprogramming-university
hybridgroup,gobot,8800,https://github.com/hybridgroup/gobot
platformio,platformio-core,7700,https://github.com/platformio/platformio-core
,bblanchon,6600,https://github.com/bblanchon
tzapu,WiFiManager,6500,https://github.com/tzapu/WiFiManager
justcallmekoko,ESP32Marauder,5000,https://github.com/justcallmekoko/ESP32Marauder
olikraus,u8g2,4900,https://github.com/olikraus/u8g2
ClemensElflein,OpenMower,4600,https://github.com/ClemensElflein/OpenMower
omriharel,deej,4500,https://github.com/omriharel/deej
Arduino-IRremote,Arduino-IRremote,4400,https://github.com/Arduino-IRremote/Arduino-IRremote
,arduino,4200,https://github.com/arduino
,Serial-Studio,4200,https://github.com/Serial-Studio
hybridgroup,cylon,4200,https://github.com/hybridgroup/cylon
