username,repo_name,stars,repo_url
,bregman-arie,64800,https://github.com/bregman-arie
,microsoft,55800,https://github.com/microsoft
pulumi,pulumi,20500,https://github.com/pulumi/pulumi
recommenders-team,recommenders,18400,https://github.com/recommenders-team/recommenders
getsops,sops,15800,https://github.com/getsops/sops
danny-avila,LibreChat,15300,https://github.com/danny-avila/LibreChat
ramitsurana,awesome-kubernetes,14900,https://github.com/ramitsurana/awesome-kubernetes
,Azure,13800,https://github.com/Azure
caprover,caprover,12700,https://github.com/caprover/caprover
,milanm,10500,https://github.com/milanm
,infracost,10500,https://github.com/infracost
,prowler-cloud,10000,https://github.com/prowler-cloud
,google,9400,https://github.com/google
,microsoft,9300,https://github.com/microsoft
budtmo,docker-android,8800,https://github.com/budtmo/docker-android
,Netflix,7800,https://github.com/Netflix
microsoft,azuredatastudio,7500,https://github.com/microsoft/azuredatastudio
midwayjs,midway,7300,https://github.com/midwayjs/midway
,node-formidable,7000,https://github.com/node-formidable
thangchung,clean-code-dotnet,7000,https://github.com/thangchung/clean-code-dotnet
