username,repo_name,stars,repo_url
,jlevy,151000,https://github.com/jlevy
,nvm-sh,77300,https://github.com/nvm-sh
,junegunn,62000,https://github.com/junegunn
,starship,43000,https://github.com/starship
,google,42300,https://github.com/google
LeCoupa,awesome-cheatsheets,38500,https://github.com/LeCoupa/awesome-cheatsheets
acmesh-official,acme.sh,37600,https://github.com/acmesh-official/acme.sh
dylanaraps,pure-bash-bible,36300,https://github.com/dylanaraps/pure-bash-bible
koalaman,shellcheck,35500,https://github.com/koalaman/shellcheck
alebcay,awesome-shell,31900,https://github.com/alebcay/awesome-shell
mathiasbynens,dotfiles,30000,https://github.com/mathiasbynens/dotfiles
,jaywcjlove,29700,https://github.com/jaywcjlove
,withfig,24400,https://github.com/withfig
kingToolbox,WindTerm,21600,https://github.com/kingToolbox/WindTerm
dylanaraps,neofetch,21600,https://github.com/dylanaraps/neofetch
asdf-vm,asdf,21100,https://github.com/asdf-vm/asdf
,ajeetdsouza,20400,https://github.com/ajeetdsouza
,warpdotdev,20300,https://github.com/warpdotdev
Nyr,openvpn-install,18700,https://github.com/Nyr/openvpn-install
atuinsh,atuin,18700,https://github.com/atuinsh/atuin
