username,repo_name,stars,repo_url
Genymobile,scrcpy,106000,https://github.com/Genymobile/scrcpy
neovim,neovim,80000,https://github.com/neovim/neovim
,obsproject,57300,https://github.com/obsproject
fffaraz,awesome-cpp,57100,https://github.com/fffaraz/awesome-cpp
git,git,51000,https://github.com/git/git
FFmpeg,FFmpeg,43700,https://github.com/FFmpeg/FFmpeg
,serhii-londar,40400,https://github.com/serhii-londar
vim,vim,35600,https://github.com/vim/vim
,curl,34800,https://github.com/curl
huihut,interview,33800,https://github.com/huihut/interview
mpv-player,mpv,26800,https://github.com/mpv-player/mpv
ggreer,the_silver_searcher,25900,https://github.com/ggreer/the_silver_searcher
,ossrs,24800,https://github.com/ossrs
,kovidgoyal,22800,https://github.com/kovidgoyal
,google,22500,https://github.com/google
microsoft,vcpkg,22300,https://github.com/microsoft/vcpkg
ruby,ruby,21800,https://github.com/ruby/ruby
,raysan5,20500,https://github.com/raysan5
hashcat,hashcat,20400,https://github.com/hashcat/hashcat
radareorg,radare2,20000,https://github.com/radareorg/radare2
