username,repo_name,stars,repo_url
iamadamdev,bypass-paywalls-chrome,47900,https://github.com/iamadamdev/bypass-paywalls-chrome
,jaywcjlove,29700,https://github.com/jaywcjlove
,refined-github,23600,https://github.com/refined-github
,openai-translator,23200,https://github.com/openai-translator
,darkreader,19100,https://github.com/darkreader
,dailydotdev,17300,https://github.com/dailydotdev
,checkly,15000,https://github.com/checkly
,gildas-lormeau,14300,https://github.com/gildas-lormeau
unbug,codelf,14000,https://github.com/unbug/codelf
immersive-translate,immersive-translate,13700,https://github.com/immersive-translate/immersive-translate
wong2,chatgpt-google-extension,13300,https://github.com/wong2/chatgpt-google-extension
Anarios,return-youtube-dislike,12300,https://github.com/Anarios/return-youtube-dislike
,crimx,11800,https://github.com/crimx
listen1,listen1_chrome_extension,11200,https://github.com/listen1/listen1_chrome_extension
,alyssaxuu,11100,https://github.com/alyssaxuu
AutomaApp,automa,10800,https://github.com/AutomaApp/automa
chathub-dev,chathub,9800,https://github.com/chathub-dev/chathub
josStorer,chatGPTBox,9700,https://github.com/josStorer/chatGPTBox
ajayyy,SponsorBlock,9300,https://github.com/ajayyy/SponsorBlock
,PlasmoHQ,8800,https://github.com/PlasmoHQ
