username,repo_name,stars,repo_url
realm,SwiftLint,18500,https://github.com/realm/SwiftLint
facebook,infer,14800,https://github.com/facebook/infer
,analysis-tools-dev,13100,https://github.com/analysis-tools-dev
,federico-busato,11400,https://github.com/federico-busato
,Kristories,9600,https://github.com/Kristories
super-linter,super-linter,9300,https://github.com/super-linter/super-linter
SonarSource,sonarqube,8800,https://github.com/SonarSource/sonarqube
,checkstyle,8200,https://github.com/checkstyle
,reviewdog,7600,https://github.com/reviewdog
facebook,pyre-check,6700,https://github.com/facebook/pyre-check
,detekt,6100,https://github.com/detekt
,trekhleb,5500,https://github.com/trekhleb
import-js,eslint-plugin-import,5400,https://github.com/import-js/eslint-plugin-import
pylint-dev,pylint,5200,https://github.com/pylint-dev/pylint
simplecov-ruby,simplecov,4700,https://github.com/simplecov-ruby/simplecov
pmd,pmd,4700,https://github.com/pmd/pmd
kucherenko,jscpd,4600,https://github.com/kucherenko/jscpd
phpro,grumphp,4100,https://github.com/phpro/grumphp
htmlhint,HTMLHint,3100,https://github.com/htmlhint/HTMLHint
codeclimate,codeclimate,2500,https://github.com/codeclimate/codeclimate
