username,repo_name,stars,repo_url
,ohmyzsh,171000,https://github.com/ohmyzsh
,junegunn,62000,https://github.com/junegunn
,sherlock-project,52600,https://github.com/sherlock-project
jesseduffield,lazygit,48200,https://github.com/jesseduffield/lazygit
,sharkdp,47700,https://github.com/sharkdp
BurntSushi,ripgrep,46300,https://github.com/BurntSushi/ripgrep
wagoodman,dive,44600,https://github.com/wagoodman/dive
,n8n-io,42500,https://github.com/n8n-io
,google,42300,https://github.com/google
chubin,cheat.sh,37800,https://github.com/chubin/cheat.sh
spf13,cobra,36800,https://github.com/spf13/cobra
,cli,36100,https://github.com/cli
,httpie,32800,https://github.com/httpie
sharkdp,fd,32600,https://github.com/sharkdp/fd
alebcay,awesome-shell,31900,https://github.com/alebcay/awesome-shell
ibraheemdev,modern-unix,30300,https://github.com/ibraheemdev/modern-unix
acheong08,ChatGPT,28000,https://github.com/acheong08/ChatGPT
tqdm,tqdm,27900,https://github.com/tqdm/tqdm
,angular,26700,https://github.com/angular
google,python-fire,26600,https://github.com/google/python-fire
