username,repo_name,stars,repo_url
,vercel,123000,https://github.com/vercel
rust-lang,rust,94900,https://github.com/rust-lang/rust
,sveltejs,77500,https://github.com/sveltejs
webpack,webpack,64300,https://github.com/webpack/webpack
FuelLabs,sway,63000,https://github.com/FuelLabs/sway
gatsbyjs,gatsby,55100,https://github.com/gatsbyjs/gatsby
,JetBrains,48300,https://github.com/JetBrains
parcel-bundler,parcel,43300,https://github.com/parcel-bundler/parcel
babel,babel,43100,https://github.com/babel/babel
evanw,esbuild,37600,https://github.com/evanw/esbuild
vlang,v,35500,https://github.com/vlang/v
markedjs,marked,32299,https://github.com/markedjs/marked
carbon-language,carbon-lang,32299,https://github.com/carbon-language/carbon-lang
ziglang,zig,32200,https://github.com/ziglang/zig
swc-project,swc,30500,https://github.com/swc-project/swc
typst,typst,29900,https://github.com/typst/typst
,vercel,24200,https://github.com/vercel
v8,v8,22900,https://github.com/v8/v8
,oracle,20000,https://github.com/oracle
crystal-lang,crystal,19200,https://github.com/crystal-lang/crystal
