username,repo_name,stars,repo_url
,localstack,53000,https://github.com/localstack
harness,gitness,31900,https://github.com/harness/gitness
jenkinsci,jenkins,22700,https://github.com/jenkinsci/jenkins
auchenberg,volkswagen,14100,https://github.com/auchenberg/volkswagen
dagger,dagger,10600,https://github.com/dagger/dagger
,milanm,10500,https://github.com/milanm
openshift,origin,8500,https://github.com/openshift/origin
concourse,concourse,7300,https://github.com/concourse/concourse
gocd,gocd,7100,https://github.com/gocd/gocd
buildbot,buildbot,5200,https://github.com/buildbot/buildbot
gaia-pipeline,gaia,5200,https://github.com/gaia-pipeline/gaia
Strider-CD,strider,4600,https://github.com/Strider-CD/strider
,Flagsmith,4600,https://github.com/Flagsmith
,jenkins-x,4500,https://github.com/jenkins-x
,ovh,4500,https://github.com/ovh
,TheLartians,4200,https://github.com/TheLartians
,JamesIves,4200,https://github.com/JamesIves
,werf,4000,https://github.com/werf
,iterative,4000,https://github.com/iterative
xcpretty,xcpretty,3900,https://github.com/xcpretty/xcpretty
