username,repo_name,stars,repo_url
bitcoin,bitcoin,77100,https://github.com/bitcoin/bitcoin
,ccxt,31900,https://github.com/ccxt
,OpenBB-finance,26600,https://github.com/OpenBB-finance
,freqtrade,26300,https://github.com/freqtrade
dogecoin,dogecoin,14400,https://github.com/dogecoin/dogecoin
monero-project,monero,8700,https://github.com/monero-project/monero
xmrig,xmrig,8500,https://github.com/xmrig/xmrig
kroma-network,tachyon,7800,https://github.com/kroma-network/tachyon
dvf,blockchain,7700,https://github.com/dvf/blockchain
,hummingbot,7600,https://github.com/hummingbot
lightningnetwork,lnd,7600,https://github.com/lightningnetwork/lnd
,lbryio,7200,https://github.com/lbryio
,StockSharp,6800,https://github.com/StockSharp
firmai,financial-machine-learning,6400,https://github.com/firmai/financial-machine-learning
cosmos,cosmos-sdk,6100,https://github.com/cosmos/cosmos-sdk
sammchardy,python-binance,5900,https://github.com/sammchardy/python-binance
tendermint,tendermint,5700,https://github.com/tendermint/tendermint
,jesse-ai,5400,https://github.com/jesse-ai
sea-protocol,seaprotocol,5100,https://github.com/sea-protocol/seaprotocol
mimblewimble,grin,5000,https://github.com/mimblewimble/grin
